step,reward,seed
0,0.0,1
100000,992.0,1
200000,993.0,1
300000,999.0,1
400000,996.0,1
500000,995.0,1
600000,983.0,1
700000,996.0,1
800000,991.0,1
900000,1000.0,1
1000000,986.0,1
1100000,989.0,1
1200000,1000.0,1
1300000,990.0,1
1400000,997.0,1
1500000,1000.0,1
1600000,998.0,1
1700000,987.0,1
1800000,990.0,1
1900000,999.0,1
2000000,988.0,1
2100000,991.0,1
2200000,993.0,1
2300000,988.0,1
2400000,993.0,1
2500000,990.0,1
2600000,993.0,1
2700000,990.0,1
2800000,991.0,1
2900000,997.0,1
3000000,994.0,1
3100000,995.0,1
3200000,991.0,1
3300000,996.0,1
3400000,1000.0,1
3500000,994.0,1
3600000,999.0,1
3700000,986.0,1
3800000,995.0,1
3900000,992.0,1
4000000,994.0,1
0,0.0,2
100000,984.0,2
200000,986.0,2
300000,986.0,2
400000,999.0,2
500000,988.0,2
600000,1000.0,2
700000,999.0,2
800000,998.0,2
900000,997.0,2
1000000,1000.0,2
1100000,988.0,2
1200000,993.0,2
1300000,998.0,2
1400000,997.0,2
1500000,992.0,2
1600000,995.0,2
1700000,993.0,2
1800000,996.0,2
1900000,993.0,2
2000000,1000.0,2
2100000,994.0,2
2200000,999.0,2
2300000,999.0,2
2400000,994.0,2
2500000,997.0,2
2600000,997.0,2
2700000,993.0,2
2800000,993.0,2
2900000,990.0,2
3000000,991.0,2
3100000,992.0,2
3200000,998.0,2
3300000,990.0,2
3400000,990.0,2
3500000,992.0,2
3600000,988.0,2
3700000,994.0,2
3800000,996.0,2
3900000,997.0,2
4000000,994.0,2
0,0.0,3
100000,987.0,3
200000,981.0,3
300000,986.0,3
400000,992.0,3
500000,985.0,3
600000,993.0,3
700000,989.0,3
800000,985.0,3
900000,990.0,3
1000000,995.0,3
1100000,987.0,3
1200000,1000.0,3
1300000,985.0,3
1400000,992.0,3
1500000,994.0,3
1600000,994.0,3
1700000,987.0,3
1800000,994.0,3
1900000,991.0,3
2000000,995.0,3
2100000,994.0,3
2200000,988.0,3
2300000,990.0,3
2400000,994.0,3
2500000,990.0,3
2600000,998.0,3
2700000,999.0,3
2800000,991.0,3
2900000,996.0,3
3000000,991.0,3
3100000,987.0,3
3200000,992.0,3
3300000,994.0,3
3400000,992.0,3
3500000,1000.0,3
3600000,996.0,3
3700000,992.0,3
3800000,999.0,3
3900000,992.0,3
4000000,996.0,3
